elapsed_s,esp_ms,state,clutch_mode,angle_deg,motor3_pwm,error,motor2_count,target_count,position_error,motor2_pwm,target_step
12.513,7317881,0,0,0.0,0,0,409,409,0,0,0
12.599,7317969,0,0,0.0,0,0,409,409,0,0,0
12.700,7318069,0,0,0.0,0,0,409,409,0,0,0
12.799,7318169,0,0,0.0,0,0,409,409,0,0,0
12.899,7318269,0,0,0.0,0,0,409,409,0,0,0
12.999,7318369,0,0,0.0,0,0,409,409,0,0,0
13.122,7318469,0,0,0.0,0,0,409,409,0,0,0
13.204,7318569,0,0,0.0,0,0,409,409,0,0,0
13.300,7318669,0,0,0.0,0,0,409,409,0,0,0
13.399,7318769,0,0,0.0,0,0,409,409,0,0,0
13.499,7318869,0,0,0.0,0,0,409,409,0,0,0
13.599,7318969,0,0,0.0,0,0,409,409,0,0,0
13.699,7319069,0,0,0.0,0,0,409,409,0,0,0
13.799,7319169,0,0,0.0,0,0,409,409,0,0,0
13.899,7319269,0,0,0.0,0,0,409,409,0,0,0
13.999,7319369,0,0,0.0,0,0,409,409,0,0,0
14.099,7319469,0,0,0.0,0,0,409,409,0,0,0
14.199,7319569,0,0,0.0,0,0,409,409,0,0,0
14.299,7319669,0,0,0.0,0,0,409,409,0,0,0
14.399,7319769,0,0,0.0,0,0,409,409,0,0,0
14.513,7319881,0,0,0.0,0,0,409,409,0,0,0
14.599,7319969,0,0,0.0,0,0,409,409,0,0,0
14.699,7320069,0,0,0.0,0,0,409,409,0,0,0
14.799,7320169,0,0,0.0,0,0,409,409,0,0,0
14.899,7320269,0,0,0.0,0,0,409,409,0,0,0
14.999,7320369,0,0,0.0,0,0,409,409,0,0,0
15.100,7320469,0,0,0.0,0,0,409,409,0,0,0
15.203,7320569,0,0,0.0,0,0,409,409,0,0,0
15.299,7320669,0,0,0.0,0,0,409,409,0,0,0
15.399,7320769,0,0,0.0,0,0,409,409,0,0,0
15.501,7320869,0,0,0.0,0,0,409,409,0,0,0
15.600,7320969,0,0,0.0,0,0,409,409,0,0,0
15.699,7321069,0,0,0.0,0,0,409,409,0,0,0
15.800,7321169,0,0,0.0,0,0,409,409,0,0,0
15.899,7321269,0,0,0.0,0,0,409,409,0,0,0
15.999,7321369,0,0,0.0,0,0,409,409,0,0,0
16.099,7321469,0,0,0.0,0,0,409,409,0,0,0
16.199,7321569,0,0,0.0,0,0,409,409,0,0,0
16.299,7321669,0,0,0.0,0,0,409,409,0,0,0
16.399,7321769,0,0,0.0,0,0,409,409,0,0,0
16.515,7321881,0,0,0.0,0,0,409,409,0,0,0
16.600,7321969,0,0,0.0,0,0,409,409,0,0,0
16.700,7322069,0,0,0.0,0,0,409,409,0,0,0
16.799,7322169,0,0,0.0,0,0,409,409,0,0,0
16.899,7322269,0,0,0.0,0,0,409,409,0,0,0
16.999,7322369,0,0,0.0,0,0,409,409,0,0,0
17.099,7322469,0,0,0.0,0,0,409,409,0,0,0
17.199,7322569,0,0,0.0,0,0,409,409,0,0,0
17.300,7322669,0,0,0.0,0,0,409,409,0,0,0
17.399,7322769,0,0,0.0,0,0,409,409,0,0,0
17.499,7322869,0,0,0.0,0,0,409,409,0,0,0
17.599,7322969,0,0,0.0,0,0,409,409,0,0,0
17.699,7323069,0,0,0.0,0,0,409,409,0,0,0
17.799,7323169,0,0,0.0,0,0,409,409,0,0,0
17.899,7323269,0,0,0.0,0,0,409,409,0,0,0
17.999,7323369,0,0,0.0,0,0,409,409,0,0,0
18.103,7323469,0,0,0.0,0,0,409,409,0,0,0
18.199,7323569,0,0,0.0,0,0,409,409,0,0,0
18.299,7323669,0,0,0.0,0,0,409,409,0,0,0
18.399,7323769,0,0,0.0,0,0,409,409,0,0,0
18.513,7323881,0,0,0.0,0,0,409,409,0,0,0
18.612,7323981,0,0,0.0,-45,0,409,409,0,0,0
18.699,7324069,0,0,0.0,-45,0,409,409,0,0,0
18.800,7324169,0,0,0.0,-45,0,409,409,0,0,0
18.899,7324269,0,0,0.0,-45,0,409,409,0,0,0
18.999,7324369,0,0,0.0,-45,0,409,409,0,0,0
19.112,7324481,0,0,0.0,0,0,409,409,0,0,0
19.199,7324569,0,0,0.0,0,0,409,409,0,0,0
19.299,7324669,0,0,0.0,0,0,409,409,0,0,0
19.399,7324769,0,0,0.0,0,0,409,409,0,0,0
19.504,7324869,0,0,0.0,0,0,409,409,0,0,0
19.599,7324969,0,0,0.0,0,0,409,409,0,0,0
19.699,7325069,0,0,0.0,0,0,409,409,0,0,0
19.799,7325169,0,0,0.0,0,0,409,409,0,0,0
19.899,7325269,0,0,0.0,0,0,409,409,0,0,0
19.999,7325369,0,0,0.0,0,0,409,409,0,0,0
20.099,7325469,0,0,0.0,0,0,409,409,0,0,0
20.199,7325569,0,0,0.0,0,0,409,409,0,0,0
20.299,7325669,0,0,0.0,0,0,409,409,0,0,0
20.401,7325769,0,0,0.0,0,0,409,409,0,0,0
20.500,7325869,0,0,0.0,0,0,409,409,0,0,0
20.599,7325969,0,0,0.0,0,0,409,409,0,0,0
20.699,7326069,0,0,0.0,0,0,409,409,0,0,0
20.799,7326169,0,0,0.0,0,0,409,409,0,0,0
20.898,7326269,0,0,0.0,0,0,409,409,0,0,0
21.000,7326369,0,0,0.0,0,0,409,409,0,0,0
21.113,7326481,0,0,0.0,0,0,409,409,0,0,0
21.199,7326569,0,0,0.0,0,0,409,409,0,0,0
21.299,7326669,0,0,0.0,0,0,409,409,0,0,0
21.399,7326769,0,0,0.0,0,0,409,409,0,0,0
21.504,7326869,0,0,0.0,0,0,409,409,0,0,0
21.598,7326969,0,0,0.0,0,0,409,409,0,0,0
21.699,7327069,0,0,0.0,0,0,409,409,0,0,0
21.799,7327169,0,0,0.0,0,0,409,409,0,0,0
21.899,7327269,0,0,0.0,0,0,409,409,0,0,0
21.999,7327369,0,0,0.0,0,0,409,409,0,0,0
22.098,7327469,0,0,0.0,0,0,409,409,0,0,0
22.203,7327569,0,0,0.0,0,0,409,409,0,0,0
22.299,7327669,0,0,0.0,0,0,409,409,0,0,0
22.399,7327769,0,0,0.0,0,0,409,409,0,0,0
22.499,7327869,0,0,0.0,0,0,409,409,0,0,0
22.599,7327969,0,0,0.0,0,0,409,409,0,0,0
22.699,7328069,0,0,0.0,0,0,409,409,0,0,0
22.799,7328169,0,0,0.0,0,0,409,409,0,0,0
22.898,7328269,0,0,0.0,0,0,409,409,0,0,0
22.998,7328369,0,0,0.0,0,0,409,409,0,0,0
23.112,7328481,0,0,0.0,0,0,409,409,0,0,0
23.199,7328569,0,0,0.0,0,0,409,409,0,0,0
23.299,7328669,0,0,0.0,0,0,409,409,0,0,0
23.398,7328769,0,0,0.0,0,0,409,409,0,0,0
23.500,7328869,0,0,0.0,0,0,409,409,0,0,0
23.599,7328969,0,0,0.0,0,0,409,409,0,0,0
23.703,7329069,0,0,0.0,0,0,409,409,0,0,0
23.799,7329169,0,0,0.0,0,0,409,409,0,0,0
23.899,7329269,0,0,0.0,0,0,409,409,0,0,0
23.998,7329369,0,0,0.0,0,0,409,409,0,0,0
24.098,7329469,0,0,0.0,0,0,409,409,0,0,0
24.199,7329569,0,0,0.0,0,0,409,409,0,0,0
24.300,7329669,0,0,0.0,0,0,409,409,0,0,0
24.399,7329769,0,0,0.0,0,0,409,409,0,0,0
24.499,7329869,0,0,0.0,0,0,409,409,0,0,0
24.599,7329969,0,0,0.0,0,0,409,409,0,0,0
24.699,7330069,0,0,0.0,0,0,409,409,0,0,0
24.799,7330169,0,0,0.0,0,0,409,409,0,0,0
24.898,7330269,0,0,0.0,0,0,409,409,0,0,0
24.998,7330369,0,0,0.0,0,0,409,409,0,0,0
25.112,7330481,0,0,0.0,0,0,409,409,0,0,0
25.198,7330569,0,0,0.0,0,0,409,409,0,0,0
25.298,7330669,0,0,0.0,0,0,409,409,0,0,0
25.398,7330769,0,0,0.0,0,0,409,409,0,0,0
25.498,7330869,0,0,0.0,0,0,409,409,0,0,0
25.599,7330969,0,0,0.0,0,0,409,409,0,0,0
25.698,7331069,0,0,0.0,0,0,409,409,0,0,0
25.798,7331169,0,0,0.0,0,0,409,409,0,0,0
25.898,7331269,0,0,0.0,0,0,409,409,0,0,0
25.999,7331369,0,0,0.0,0,0,409,409,0,0,0
26.098,7331469,0,0,0.0,0,0,409,409,0,0,0
26.198,7331569,0,0,0.0,0,0,409,409,0,0,0
26.299,7331669,0,0,0.0,0,0,409,409,0,0,0
26.399,7331769,0,0,0.0,0,0,409,409,0,0,0
26.498,7331869,0,0,0.0,0,0,409,409,0,0,0
26.599,7331969,0,0,0.0,0,0,409,409,0,0,0
26.698,7332069,0,0,0.0,0,0,409,409,0,0,0
26.799,7332169,0,0,0.0,0,0,409,409,0,0,0
26.899,7332269,0,0,0.0,0,0,409,409,0,0,0
26.998,7332369,0,0,0.0,0,0,409,409,0,0,0
27.112,7332481,0,0,0.0,0,0,409,409,0,0,0
27.198,7332569,0,0,0.0,0,0,409,409,0,0,0
27.299,7332669,0,0,0.0,0,0,409,409,0,0,0
27.398,7332769,0,0,0.0,0,0,409,409,0,0,0
27.501,7332869,0,0,0.0,0,0,409,409,0,0,0
27.611,7332981,0,0,0.0,-45,0,409,409,0,0,0
27.699,7333069,0,0,0.0,-45,0,409,409,0,0,0
27.799,7333169,0,0,0.0,-45,0,409,409,0,0,0
27.899,7333269,0,0,0.0,-45,0,409,409,0,0,0
27.999,7333369,0,0,0.0,-45,0,409,409,0,0,0
28.113,7333481,0,0,0.0,0,0,409,409,0,0,0
28.198,7333569,0,0,0.0,0,0,409,409,0,0,0
28.298,7333669,0,0,0.0,0,0,409,409,0,0,0
28.398,7333769,0,0,0.0,0,0,409,409,0,0,0
28.499,7333869,0,0,0.0,0,0,409,409,0,0,0
28.599,7333969,0,0,0.0,0,0,409,409,0,0,0
28.698,7334069,0,0,0.0,0,0,409,409,0,0,0
28.798,7334169,0,0,0.0,0,0,409,409,0,0,0
28.899,7334269,0,0,0.0,0,0,409,409,0,0,0
28.998,7334369,0,0,0.0,0,0,409,409,0,0,0
29.098,7334469,0,0,0.0,0,0,409,409,0,0,0
29.198,7334569,0,0,0.0,0,0,409,409,0,0,0
29.298,7334669,0,0,0.0,0,0,409,409,0,0,0
29.398,7334769,0,0,0.0,0,0,409,409,0,0,0
29.503,7334869,0,0,0.0,0,0,409,409,0,0,0
29.600,7334969,0,0,0.0,0,0,409,409,0,0,0
29.699,7335069,0,0,0.0,0,0,409,409,0,0,0
29.798,7335169,0,0,0.0,0,0,409,409,0,0,0
29.898,7335269,0,0,0.0,0,0,409,409,0,0,0
29.998,7335369,0,0,0.0,0,0,409,409,0,0,0
30.111,7335481,0,0,0.0,0,0,409,409,0,0,0
30.198,7335569,0,0,0.0,0,0,409,409,0,0,0
30.298,7335669,0,0,0.0,0,0,409,409,0,0,0
30.398,7335769,0,0,0.0,0,0,409,409,0,0,0
30.500,7335869,0,0,0.0,0,0,409,409,0,0,0
30.599,7335969,0,0,0.0,0,0,409,409,0,0,0
30.698,7336069,0,0,0.0,0,0,409,409,0,0,0
30.811,7336181,0,0,0.0,-45,0,409,409,0,0,0
30.899,7336269,0,0,0.0,-45,0,409,409,0,0,0
30.998,7336369,0,0,0.0,-45,0,409,409,0,0,0
31.098,7336469,0,0,0.0,-45,0,409,409,0,0,0
31.208,7336569,0,0,0.0,-45,0,409,409,0,0,0
31.312,7336681,0,0,0.0,0,0,409,409,0,0,0
31.398,7336769,0,0,0.0,0,0,409,409,0,0,0
31.499,7336869,0,0,0.0,0,0,409,409,0,0,0
31.599,7336969,0,0,0.0,0,0,409,409,0,0,0
31.700,7337069,0,0,0.0,0,0,409,409,0,0,0
31.799,7337169,0,0,0.0,0,0,409,409,0,0,0
31.898,7337269,0,0,0.0,0,0,409,409,0,0,0
31.998,7337369,0,0,0.0,0,0,409,409,0,0,0
32.098,7337469,0,0,0.0,0,0,409,409,0,0,0
32.198,7337569,0,0,0.0,0,0,409,409,0,0,0
32.298,7337669,0,0,0.0,0,0,409,409,0,0,0
32.398,7337769,0,0,0.0,0,0,409,409,0,0,0
32.499,7337869,0,0,0.0,0,0,409,409,0,0,0
32.599,7337969,0,0,0.0,0,0,409,409,0,0,0
32.698,7338069,0,0,0.0,0,0,409,409,0,0,0
32.802,7338169,0,0,0.0,0,0,409,409,0,0,0
32.898,7338269,0,0,0.0,0,0,409,409,0,0,0
32.998,7338369,0,0,0.0,0,0,409,409,0,0,0
33.098,7338469,0,0,0.0,0,0,409,409,0,0,0
33.200,7338569,0,0,0.0,0,0,409,409,0,0,0
33.312,7338681,0,0,0.0,0,0,409,409,0,0,0
33.398,7338769,0,0,0.0,0,0,409,409,0,0,0
33.498,7338869,0,0,0.0,0,0,409,409,0,0,0
33.598,7338969,0,0,0.0,0,0,409,409,0,0,0
33.698,7339069,0,0,0.0,0,0,409,409,0,0,0
33.798,7339169,0,0,0.0,0,0,409,409,0,0,0
33.898,7339269,0,0,0.0,0,0,409,409,0,0,0
33.998,7339369,0,0,0.0,0,0,409,409,0,0,0
34.098,7339469,0,0,0.0,0,0,409,409,0,0,0
34.198,7339569,0,0,0.0,0,0,409,409,0,0,0
34.298,7339669,0,0,0.0,0,0,409,409,0,0,0
34.398,7339769,0,0,0.0,0,0,409,409,0,0,0
34.498,7339869,0,0,0.0,0,0,409,409,0,0,0
34.600,7339969,0,0,0.0,0,0,409,409,0,0,0
34.711,7340081,0,0,0.0,-45,0,409,409,0,0,0
34.798,7340169,0,0,0.0,-45,0,409,409,0,0,0
34.899,7340269,0,0,0.0,-45,0,409,409,0,0,0
34.998,7340369,0,0,0.0,-45,0,409,409,0,0,0
35.098,7340469,0,0,0.0,-45,0,409,409,0,0,0
35.212,7340581,0,0,0.0,0,0,409,409,0,0,0
35.298,7340669,0,0,0.0,0,0,409,409,0,0,0
35.398,7340769,0,0,0.0,0,0,409,409,0,0,0
35.498,7340869,0,0,0.0,0,0,409,409,0,0,0
35.599,7340969,0,0,0.0,0,0,409,409,0,0,0
35.698,7341069,0,0,0.0,0,0,409,409,0,0,0
35.798,7341169,0,0,0.0,0,0,409,409,0,0,0
35.898,7341269,0,0,0.0,0,0,409,409,0,0,0
36.000,7341369,0,0,0.0,0,0,409,409,0,0,0
36.098,7341469,0,0,0.0,0,0,409,409,0,0,0
36.198,7341569,0,0,0.0,0,0,409,409,0,0,0
36.298,7341669,0,0,0.0,0,0,409,409,0,0,0
36.398,7341769,0,0,0.0,0,0,409,409,0,0,0
36.500,7341869,0,0,0.0,0,0,409,409,0,0,0
36.598,7341969,0,0,0.0,0,0,409,409,0,0,0
36.698,7342069,0,0,0.0,0,0,409,409,0,0,0
36.798,7342169,0,0,0.0,0,0,409,409,0,0,0
36.898,7342269,0,0,0.0,0,0,409,409,0,0,0
36.998,7342369,0,0,0.0,0,0,409,409,0,0,0
37.098,7342469,0,0,0.0,0,0,408,409,1,0,0
37.211,7342581,0,0,0.0,0,0,408,409,1,0,0
37.298,7342669,0,0,0.0,0,0,408,409,1,0,0
37.398,7342769,0,0,0.0,0,0,408,409,1,0,0
37.498,7342869,0,0,0.0,0,0,408,409,1,0,0
37.598,7342969,0,0,0.0,0,0,408,409,1,0,0
37.701,7343069,0,0,0.0,0,0,408,409,1,0,0
37.799,7343169,0,0,0.0,0,0,408,409,1,0,0
37.898,7343269,0,0,0.0,0,0,408,409,1,0,0
38.005,7343369,0,0,0.0,0,0,408,409,1,0,0
